Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
CSD16340Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 5.5 mOhm	ACTIVE	SLIM145	CSD16340Q3 TINA-TI Spice Model
CSD16342Q5A	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 5.5 mOhm	ACTIVE	SLPM052	CSD16342Q5A TINA-TI Spice Model
CSD16401Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 2.3 mOhm	ACTIVE	SLPM267	CSD16401Q5 TINA-TI Spice Model
CSD16404Q5A	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 7.2 mOhm	ACTIVE	SLIM045	CSD16404Q5A TINA-TI Spice Model
CSD16406Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 7.4 mOhm	ACTIVE	SLLM068	CSD16406Q3 TINA-TI Spice Model
CSD16407Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 3.3 mOhm	ACTIVE	SLPM199	CSD16407Q5 TINA-TI Spice Model
CSD16408Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 6.8 mOhm	ACTIVE	SLLM069	CSD16408Q5 TINA-TI Spice Model
CSD16409Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 12.4 mOhm	ACTIVE	SLPM065	CSD16409Q3 TINA-TI Spice Model
CSD16410Q5A	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 12 mOhm	ACTIVE	SLPM053	CSD16410Q5A TINA-TI Spice Model
CSD16411Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 15 mOhm	ACTIVE	SLLM070	CSD16411Q3 TINA-TI Spice Model
CSD16413Q5A	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 5.6 mOhm	ACTIVE	SLPM268	CSD16413Q5A TINA-TI Spice Model
CSD16570Q5B	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 0.82 mOhm	ACTIVE	SLPM200	CSD16570Q5B TINA-TI Spice Model
CSD17304Q3	30-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 8.8 mOhm	ACTIVE	SLPM209	CSD17304Q3 TINA-TI Spice Model
CSD17307Q5A	30-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 12.1 mOhm	ACTIVE	SLPM201	CSD17307Q5A TINA-TI Spice Model
CSD17308Q3	30-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 11.8 mOhm	ACTIVE	SLPM064	CSD17308Q3 TINA-TI Spice Model
CSD17309Q3	30-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 6.3 mOhm	ACTIVE	SLPM292	CSD17309Q3 TINA-TI Spice Model
CSD17311Q5	30-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 2.3 mOhm	ACTIVE	SLPM210	CSD17311Q5 TINA-TI Spice Model
CSD17313Q2	30-V, N channel NexFET™ power MOSFET, single SON 2 mm x 2 mm, 32 mOhm	ACTIVE	SLIM146	CSD17313Q2 TINA-TI Spice Model
